time,title,titleUrl,channel,titleID,duration
2020-07-07 16:25:51.171000+00:00,Tienda Amazon Go en Nueva York 🛒Los supermercados del futuro,https://www.youtube.com/watch?v=bqmOeZv2cfU,NørdicWire,bqmOeZv2cfU,729
2020-07-06 22:24:48.369000+00:00,Reading Mean Comments,https://www.youtube.com/watch?v=oWRw-Qu4h8g,Ali Abdaal,oWRw-Qu4h8g,946
2020-07-06 20:24:37.315000+00:00,How I use Notion as a Resonance Calendar,https://www.youtube.com/watch?v=lKYBB-Uw1IM,Ali Abdaal,lKYBB-Uw1IM,810
2020-07-06 20:11:54.749000+00:00,My self introduction video!,https://www.youtube.com/watch?v=7ISqLERleeI,johnta hayter,7ISqLERleeI,73
2020-07-06 20:10:40.045000+00:00,My Favourite Productivity App for Students - Notion,https://www.youtube.com/watch?v=ODl5FOMu8kI,Ali Abdaal,ODl5FOMu8kI,990
2020-07-06 16:19:57.154000+00:00,every episode of The Office,https://www.youtube.com/watch?v=ePcbLHjAaDM,anthpo,ePcbLHjAaDM,169
2020-07-06 16:15:16.077000+00:00,"""Dancing On My Own"" - Cepeda | OT CASTING FINAL",https://www.youtube.com/watch?v=fnm3mOLs1u0,Operación Triunfo Oficial,fnm3mOLs1u0,193
2020-07-06 16:11:12.525000+00:00,"""Divina Tú"" - Juan Antonio | CASTING FINAL",https://www.youtube.com/watch?v=1m6RXElhm6M,Operación Triunfo Oficial,1m6RXElhm6M,250
2020-07-06 16:08:05.492000+00:00,"""Reggaeton Lento” - Cepeda y Juan Antonio | Gala 2 | OT 2017",https://www.youtube.com/watch?v=OxdTpZ4ryg4,Operación Triunfo Oficial,OxdTpZ4ryg4,177
2020-07-06 16:06:01.141000+00:00,Juan Antonio - No Te Echo De Menos,https://www.youtube.com/watch?v=oZ-SAH-vkIs,juanantoniomusicVEVO,oZ-SAH-vkIs,198
2020-07-06 16:00:42.233000+00:00,Bronca de Vicky Gómez a Juan Antonio y Cepeda | LOS MEJORES MOMENTOS | OT 2017,https://www.youtube.com/watch?v=cOnmS1J5is0,Operación Triunfo Oficial,cOnmS1J5is0,206
2020-07-06 15:57:12.903000+00:00,"*ENSAYO INÉDITO* | ""Wicked Game"" - GÈRARD y ANNE | GALA 4 | OT 2020",https://www.youtube.com/watch?v=erFFMP30NE4,Operación Triunfo Oficial,erFFMP30NE4,170
2020-07-06 15:56:11.820000+00:00,NUEVOS!🔥XIAOMI AIR 2s👍Primera REVIEW en español,https://www.youtube.com/watch?v=_eDAa4AOIc0,eSavants,_eDAa4AOIc0,726
2020-07-06 15:47:52.933000+00:00,Rafa Romera - Como Una Gota (Video Oficial),https://www.youtube.com/watch?v=K0mZ9jpxmgY,Rafael Romera Amil,K0mZ9jpxmgY,200
2020-07-06 15:30:24.547000+00:00,How to use Apple Pay Cash,https://www.youtube.com/watch?v=H20JFJfY5q8,How To Do It All,H20JFJfY5q8,351
2020-07-06 10:06:20.481000+00:00,Rodríguez Espinosa | AD- Real Estate,https://www.youtube.com/watch?v=mamwTk8bCf8,A&D Real Estate,mamwTk8bCf8,56
